EPOCH	TIMESTAMP	TRAIN_LOSS	TRAIN_TP	TRAIN_TN	TRAIN_FP	TRAIN_FN	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F-SCORE	TRAIN_ACCURACY	DEV_LOSS	DEV_TP	DEV_TN	DEV_FP	DEV_FN	DEV_PRECISION	DEV_RECALL	DEV_F-SCORE	DEV_ACCURACY	TEST_LOSS	TEST_TP	TEST_TN	TEST_FP	TEST_FN	TEST_PRECISION	TEST_RECALL	TEST_F-SCORE	TEST_ACCURACY
0	10:19:37	_	_	_	_	_	_	_	_	_	_	430	430	670	1014	0.3909	0.2978	0.3381	0.3381	_	835	835	1526	2161	0.3537	0.2787	0.3118	0.3117
1	10:24:12	_	_	_	_	_	_	_	_	_	_	412	412	472	1032	0.4661	0.2853	0.3539	0.354	_	956	956	1114	2040	0.4618	0.3191	0.3774	0.3774
2	10:29:04	_	_	_	_	_	_	_	_	_	_	474	474	366	970	0.5643	0.3283	0.4151	0.4151	_	1103	1103	833	1893	0.5697	0.3682	0.4473	0.4473
3	10:34:13	_	_	_	_	_	_	_	_	_	_	666	666	492	778	0.5751	0.4612	0.5119	0.5119	_	1414	1414	1027	1582	0.5793	0.472	0.5202	0.5201
4	10:39:26	_	_	_	_	_	_	_	_	_	_	709	709	481	735	0.5958	0.491	0.5383	0.5383	_	1423	1423	1101	1573	0.5638	0.475	0.5156	0.5156
5	10:44:36	_	_	_	_	_	_	_	_	_	_	780	780	561	664	0.5817	0.5402	0.5602	0.5601	_	1535	1535	1217	1461	0.5578	0.5123	0.5341	0.5341
6	10:49:46	_	_	_	_	_	_	_	_	_	_	823	823	644	621	0.561	0.5699	0.5654	0.5654	_	1656	1656	1355	1340	0.55	0.5527	0.5513	0.5514
7	10:55:00	_	_	_	_	_	_	_	_	_	_	661	661	385	783	0.6319	0.4578	0.5309	0.5309	_	1434	1434	832	1562	0.6328	0.4786	0.545	0.545
8	11:00:10	_	_	_	_	_	_	_	_	_	_	770	770	501	674	0.6058	0.5332	0.5672	0.5672	_	1658	1658	1047	1338	0.6129	0.5534	0.5816	0.5817
9	11:05:17	_	_	_	_	_	_	_	_	_	_	751	751	472	693	0.6141	0.5201	0.5632	0.5632	_	1624	1624	1014	1372	0.6156	0.5421	0.5765	0.5765
10	11:10:25	_	_	_	_	_	_	_	_	_	_	736	736	419	708	0.6372	0.5097	0.5664	0.5664	_	1629	1629	979	1367	0.6246	0.5437	0.5813	0.5814
11	11:15:34	_	_	_	_	_	_	_	_	_	_	811	811	476	633	0.6301	0.5616	0.5939	0.5939	_	1713	1713	1036	1283	0.6231	0.5718	0.5963	0.5963
12	11:20:41	_	_	_	_	_	_	_	_	_	_	797	797	462	647	0.633	0.5519	0.5897	0.5897	_	1730	1730	912	1266	0.6548	0.5774	0.6137	0.6137
13	11:25:47	_	_	_	_	_	_	_	_	_	_	773	773	449	671	0.6326	0.5353	0.5799	0.5799	_	1709	1709	877	1287	0.6609	0.5704	0.6123	0.6123
